Datum,Broj naloga,Dobavljac,Naziv u GK,Analitika,Racun,Duguje,Potrazuje,Eksterni dokument,Opis
2025-06-23,IZ190-072/2,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,4350.0,2000000.0,0.0,nan,Izvod br. 072
2025-07-30,IZ190-098,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,4350.0,1200000.0,0.0,nan,Izvod br. 098
2025-08-01,IZ190-100,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,4350.0,1000000.0,0.0,nan,Izvod br. 100
2025-08-15,IZ190-110/2,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,4350.0,3000000.0,0.0,nan,Izvod br. 110
2025-08-29,IZ190-120,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,4350.0,1760743.41,0.0,nan,Izvod br. 120
2025-11-28,IZ190-185/2,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,4350.0,1652815.9,0.0,nan,Izvod br. 185
2025-12-24,IZ190-202/2,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,4350.0,19000000.0,0.0,nan,Izvod br. 202
2025-12-25,IZ190-203/2,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,2040.0,0.0,19000000.0,nan,Izvod br. 203
2025-12-25,IZ190-203/2,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,4350.0,19000000.0,0.0,nan,Izvod br. 203
2025-12-25,IZ190-203/2,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,2040.0,0.0,19000000.0,nan,Izvod br. 203
2025-12-25,IZ190-203/2,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,4350.0,19000000.0,0.0,nan,Izvod br. 203
2025-12-26,IZ190-204,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,2040.0,0.0,7780084.56,nan,Izvod br. 204
2025-12-26,IZ190-204,EBC,EBC S NEW CONSTRUCTION TECHNOLOGY DOO,P-00545,4350.0,9749780.94,0.0,nan,Izvod br. 204
